Title,Ingredients,Removed amounts and measurements
Sweet Potato and Black Bean Tacos,"['1 to 2 medium sweet potatoes, cut into 1/2-inch cubes (about 2 cups cubed)', '2 tablespoons neutral cooking oil (such as grapeseed or canola)', '1/2 teaspoon kosher salt', '1 teaspoon chili powder', '1/2 teaspoon ground cumin', '2 tablespoons neutral cooking oil (such as grapeseed or canola)', '1/2 medium yellow onion, diced (about 1/2 cup diced)', '1/2 teaspoon kosher salt, plus more to taste', '1 clove garlic, minced', '1 jalapeño, stemmed, seeded, and minced', '1 15-ounce can black beans, drained and rinsed', 'Apple cider vinegar or water, as needed', '10 to 12 corn tortillas', '1/2 cup tomatillo salsa verde, homemade or store-bought', '1 ripe avocado, sliced thin', 'Fresh cilantro, roughly chopped', 'Lime wedges', '1/4 cup crumbled cotija cheese']","['potato','grapes','salt','chili','cumin','grapes','onion','salt','garlic','1 jalapeño, stemmed, seeded, and minced','beans','apple','corn','salsa','avocado','cilantro','lime','cheese']"
"Breakfast Tacos with Wild Alaska Salmon, Eggs, and Avocado","['Avocado oil or olive oil, for the baking sheet', '1 pound center-cut piece wild Alaska salmon', '1 tablespoon olive oil', '1/2 teaspoon salt', '1/4 teaspoon fresh ground black pepper', '1 lemon, sliced', '1 teaspoon ancho chili powder (optional)', '8 (5- to 6-inch) corn tortillas', '1 tablespoon butter or ghee', '6 large eggs, lightly beaten in a bowl with a pinch of salt', '1 lime, cut into quarters', '1 medium avocado, pitted, sliced, and scooped', '1 medium ripe tomato, chopped or sliced', '1/4 cup chopped red onion', '1/4 cup chopped fresh cilantro', '1/2 cup crumbled queso fresco', 'Jalapeno slices, fresh or from a jar']","['avocado','salmon','oil','tea','tea','lemon','chili','corn','butter','egg','lime','avocado','tomato','onion','cilantro','queso fresco','jalapeno']"
Buffalo Cauliflower Tacos with Ranch Sauce,"['2 cups cauliflower, chopped into bite-size pieces', '2 teaspoons neutral oil', 'Pinch of sea salt', '2 tablespoons cashew cream', '2 tablespoons Frank’s Red Hot Sauce', '4 8-inch corn tortillas, warmed', '2 teaspoons minced fresh, flat-leaf parsley', '2 teaspoons minced fresh chives', '1 teaspoon minced fresh dill', '1/4 teaspoon garlic powder', 'Pinch of salt', 'Pinch of pepper', '1/4 cup cashew cream', '1/2 avocado, diced', '1 tablespoon chopped parsley, to garnish']","['cauliflower','tea','salt','cream','hot sauce','corn','parsley','chives','dill','garlic','salt','pepper','cream','avocado','parsley']"
Spicy Grilled Chicken Tacos,"['2 tablespoons ancho chili powder', '1 teaspoon dried oregano', '1 teaspoon dried cumin', '1 teaspoon sugar', '1/2 teaspoon salt', '1 clove garlic, finely chopped', '1 tablespoon finely grated orange zest', '3 tablespoons fresh-squeezed orange juice', '2 tablespoons olive oil', '4 to 6 skinless, boneless chicken thighs (1 1/4 pounds)', '8 small corn tortillas', '3 cups packed baby arugula (3 ounces)', '2 medium ripe avocados, sliced', '4 radishes, thinly sliced', '1/2 pint cherry tomatoes, halved', '1/4 red onion, thinly sliced', 'Roughly chopped cilantro', '1/2 cup sour cream thinned with 1/4 cup milk', '1 lime, cut into wedges']","['chili','oregano','cumin','tea','tea','garlic','orange','ice','oil','chicken','corn','arugula','avocado','radishes','tomato','onion','cilantro','cream','lime']"
Grilled Fish Tacos with Strawberry Pineapple Salsa,"['1 cup finely diced strawberries', '1 cup finely diced pineapple', '1/2 cup finely diced red onion', '1 clove minced garlic', '1 cup roughly chopped cilantro, loosely packed', '1 small red chili, diced (optional)', '1 lime, juiced (about 1 1/2 tablespoons juice)', '1/4 teaspoon salt', '1/4 teaspoon pepper', '1/2 teaspoon sugar (optional if the salsa is tart)', '1 pound firm-fleshed fish (like sea bass, swordfish, halibut, mahi mahi or salmon)', '1 teaspoon ground cumin', '1 teaspoon sweet paprika', '1 teaspoon smoked paprika', 'Heavy pinch of cayenne (optional)', '1/4 teaspoon salt', '1/4 teaspoon pepper', '1 tablespoon olive oil', 'Grapeseed or other high heat oil for grill', '12 small (4- to 6-inch) corn tortillas', 'Shredded red cabbage', 'Sliced radishes', 'Avocado', 'Sour Cream', 'Lime wedges', 'Cilantro']","['strawberries','apple','onion','garlic','cilantro','chili','lime','tea','tea','tea','halibut','cumin','paprika','paprika','cayenne','tea','tea','oil','grapes','corn','cabbage','radishes','avocado','cream','lime','cilantro']"
Slow Cooker Honey Chipotle Chicken Tacos,"['1 1/2 pounds boneless, skinless chicken breasts, thighs, or a mix', '1/2 cup plain tomato sauce', '1/4 cup honey', '1/2 white onion, chopped', 'Juice from 1 lime (about 2 tablespoons)', '1 teaspoon garlic powder', '1/2 teaspoon kosher salt', '1/2 teaspoon black pepper', '1 to 3 chipotle peppers from a can of Chipotles en Adobo, chopped (stems and seeds removed)', '1 to 2 tablespoons Adobo sauce, from a can of Chipotles en Adobo', '1 package soft flour tortillas', 'Crumbled queso fresco', 'Diced red onion', 'Diced radish', 'Fresh cilantro', '6-quart slow cooker']","['chicken','tomato','honey','onion','lime','garlic','salt','tea','pepper','adobo sauce','flour','queso fresco','onion','ice','cilantro','slow cooker']"
BBQ Pulled Jackfruit Tacos,"['2 (14-ounce) cans jackfruit in brine, drained and rinsed', '2 tablespoons extra virgin olive oil', '1 small yellow onion, finely chopped (about 1 1/2 cups)', '2 cloves minced garlic', '1 jalapeño, seeded and finely chopped (optional)', '3/4 cup barbecue sauce, store-bought or homemade', '2 teaspoons ground cumin', '1 teaspoon dried oregano', '1 teaspoon ground coriander', '1/2 teaspoon smoked paprika', '1/2 teaspoon kosher salt', '1 teaspoon grated orange zest', '10 to 12 (6-inch) corn tortillas', '1 ripe avocado, thinly sliced', '4 radishes, thinly sliced', '1/3 cup cilantro leaves, roughly chopped', '1/3 cup shredded red cabbage', '1/3 cup corn kernels, canned or fresh from the cob', '1/4 cup sour cream (optional)', '1 lime, cut into wedges']","['jackfruit','gin','onion','clove','1 jalapeño, seeded and finely chopped (optional)','barbecue sauce','cumin','oregano','coriander','paprika','salt','tea','corn','avocado','radishes','cilantro','cabbage','corn','cream','lime']"
Crispy Chicken Skin Tacos with Habanero Salsa,"['Skin from a whole chicken or 5 chicken breasts or leg/thighs*', 'Salt', '1-2 habanero chiles, seeds removed and chopped', '4 green onions, white and light green parts only', '1/4 cup chopped cilantro', '2 Roma or other plum tomatoes, seeded and chopped', '3 Tbsp lemon juice', '1/4 small head of iceberg lettuce, thinly sliced, sprinkled with cider vinegar and salt', '1 avocado, seeded, peeled, and chopped', 'More chopped cilantro and green onion for garnish', '4 or more corn or flour tortillas (use corn tortillas if cooking gluten-free)']","['chicken','salt','chile','onion','cilantro','tomato','lemon','vinegar','avocado','cilantro','flour']"
Taco-Stuffed Zucchini Boats,"['2 tablespoons olive oil', '1 pound ground beef', '1/2 red onion, minced', '1 jalapeño, seeds removed and green parts minced', '4 teaspoons chili powder', '1 teaspoon dried oregano', '1 teaspoon garlic powder', '1 teaspoon black pepper', '1/2 teaspoon salt', '4 medium zucchini, halved lengthwise', '2 tablespoons olive oil', '6 ounces queso fresco', 'Scallions, for garnish', 'Sour cream, for garnish', 'Diced red or orange bell pepper, for garnish']","['oil','beef','onion','1 jalapeño, seeds removed and green parts minced','chili','oregano','garlic','tea','tea','zucchini','oil','queso fresco','scallions','cream','pepper']"
Turkey Tacos with Cranberry Salsa,"['8-12 corn tortillas', 'Extra virgin olive oil', '2 cups grated Monterey Jack cheese, or mild cheddar', 'Cooked turkey meat, cut into bite-sized pieces', 'Lettuce, thinly sliced', 'Fresh cilantro for garnish', '1 1/2 cups of fresh or frozen cranberries', '1/2 an apple, peeled and cored', 'Chopped serrano or jalapeno chili to taste (about a half a chili, but taste for desired heat)', '4 tablespoons sugar', '2 tablespoons chopped peeled ginger', '2 tablespoons chopped fresh cilantro', '1 tablespoon of lime or lemon juice', 'Dash of salt']","['corn','gin','cheddar','turkey','lettuce','cilantro','cranberries','apple','jalapeno','sugar','gin','cilantro','lemon','salt']"
Grilled Shrimp Tacos with Mango Avocado Salsa,"['1 pound shrimp (16/20 count) peeled and deveined (frozen is fine)', '1 quart water (4 cups)', '1 tablespoon kosher salt', '1 cup cubed ice', 'Olive oil', 'Skewers for grilling, if bamboo, soak in water for an hour', '1 ripe but still firm mango, peeled and cut into small cubes', '1 ripe avocado, seeded, peeled, and cut into small cubes', '2 Tbsp finely chopped red onion', '1/2 fresh jalapeño pepper (less or more to taste), minced', '3 Tbsp fresh lime or lemon juice', '1/2 teaspoon kosher salt', '2 Tbsp chopped fresh cilantro leaves (optional)', '10 to 12 corn or flour tortillas']","['shrimp','water','salt','ice','oil','water','mango','avocado','onion','pepper','lemon','salt','cilantro','flour']"
Veggie Tacos,"['Extra virgin olive oil', '1 cup of roughly chopped zucchini or summer squash (1-2 zucchini or squash, depending on the size)', '1/2 medium onion, chopped', '1 garlic clove, chopped', '1 large fresh mild green chile (Anaheim or Hatch), seeds and stem discarded, chopped', '1/2 fresh jalapeño chile pepper, seeds and stem discarded, minced (or more, if you desire more heat)', 'Salt', 'Pinch of ground cumin', 'Pinch of ground oregano', '1 small to medium tomato, chopped', '4 corn tortillas', '4 slices cheddar cheese', '1/4 cup crumbled Mexican cotija cheese (a salty, crumbly cheese, you can substitute feta)', 'A few sprigs of fresh cilantro, chopped (okay to include the stems, if small)']","['gin','zucchini','onion','garlic','anaheim','chile','salt','cumin','oregano','tomato','corn','cheddar','cheese','cilantro']"
Breakfast Quesadilla with Black Beans and Eggs,"['2 teaspoons butter', '1/4 cup chopped red onion', '6 large eggs, beaten in a bowl', '1/8 teaspoon salt, or to taste', 'Pinch black pepper', '1 (15-ounce) can black beans, rinsed and drained', '1 (4-ounce) can chopped mild green chiles, drained', '1/2 cup cilantro leaves', '6 (9-inch) flour tortillas', 'Pickled jalapeño peppers from a jar (optional)', '1 1/2 cups grated sharp cheddar or Monterey jack cheese, or more, to taste', 'Vegetable oil, to reheat the quesadillas', 'Salsa']","['butter','onion','egg','tea','pepper','beans','chile','cilantro','flour','pepper','cheddar','dill','salsa']"
Quesadilla Pie,"['4 large flour tortillas (9-10 inches diameter)', 'Butter', '1/2 pound grated cheese, either mild or sharp cheddar, or Monterey Jack', 'Beans, cooked (black beans, pinto beans)', 'Tomatoes, chopped', 'Summer squash, chopped', 'Onions (green onions, red onions, onion greens)', 'Mushrooms (if using a lot, sauté first, to remove moisture)', 'Cooked shredded chicken, pork, or beef', 'Chiles, either from cooked green chiles, chopped pickled jalapenos, or salsa', 'Cumin and/or chili powder for extra heat', 'Chopped avocado', 'Chopped cilantro', 'Thinly sliced iceberg lettuce dressed with vinegar and salt', 'Sour cream', 'Salsa']","['flour','butter','cheddar','beans','tomato','squash','onion','mushroom','beef','salsa','chili','avocado','cilantro','lettuce','cream','salsa']"
Apple Chicken Quesadilla,"['4 Flour tortillas (approximately 8-inches wide)', '1 cup cooked, shredded or chopped, chicken meat', '1/4 lb cheddar or Monterey jack cheese, sliced or grated', '1 apple, sliced', '1/4 cup salsa']","['flour','chicken','cheddar','apple','salsa']"
Kimchi Avocado Quesadilla,"['2 tablespoons butter', '1 cup cabbage kimchi, drained and chopped', '2 flour tortillas', '1 1/2 cup grated Monterey jack and/or cheddar cheese', '1/2 avocado, peeled, pitted, sliced', 'A dash of lime juice', '1 tablespoon chopped fresh parsley or cilantro']","['butter','kimchi','flour','cheddar','avocado','lime','cilantro']"
Quesadilla,"['Large flour tortillas', 'Grated cheese - either mild or sharp cheddar, or Monterey Jack', 'Olive oil or butter', 'Sliced mushrooms', 'Green onions', 'Black olives, sliced', 'Fresh tomatoes, diced', 'Chicken pieces', 'Avocado', 'Lettuce', 'Apple cider vinegar', 'Salt']","['flour','cheddar','butter','mushroom','onion','olives','tomato','chicken','avocado','lettuce','apple','salt']"
Shrimp Quesadilla,"['1/4 pound of medium-small raw shrimp, peeled and deveined', '1/4 teaspoon chipotle powder or chili powder', 'Pinch of salt', 'Pinch of pepper', '1 Tbsp of lime or lemon juice', '2 1/2 teaspoons extra virgin olive oil (divided, 2 teaspoons and 1/2 teaspoon)', '1 Tbsp chopped red onion', '1 Tbsp chopped fresh cilantro, plus more for garnish', 'Salt and pepper', '2 medium-sized flour tortillas', '1/2 cup shredded Monterey Jack cheese', '1/4 avocado, sliced', 'Dollop of sour cream or crema fresca']","['shrimp','chili','salt','pepper','lemon','gin','onion','cilantro','salt','flour','monterey jack','avocado','cream']"
Easy Avocado and Black Bean Quesadillas,"['2 large or 3 small avocados', 'Juice of 1/2 lime', 'Pinch of kosher salt', '2 tablespoons olive oil, divided', '1 cup red onion, sliced into 1/4-inch half moons', '1/2 teaspoon kosher salt', '1 1/2 teaspoons cumin', '1 1/2 teaspoons dried oregano', '3/4 teaspoon coriander', '1/2 yellow, red, or orange bell pepper, deseeded and chopped into 1/2-inch pieces', 'Juice of 1/2 lime', '1 (15.5-ounce) can black beans, drained and rinsed', '4 8-inch flour tortillas', '1 cup queso fresco, crumbled or grated', '1 cup sharp cheddar cheese, grated', 'Sour cream', 'Pico de gallo or salsa']","['avocado','lime','salt','oil','onion','salt','cumin','oregano','coriander','pepper','lime','beans','flour','queso fresco','cheddar','cream','pico de gallo']"
Crispy Cheese and Mushroom Quesadillas,"['2 tablespoons olive oil', '1 pound cremini, button, or wild mushrooms, or a combination, thickly sliced', '1 clove garlic, finely chopped', '1/2 bunch scallions, thinly sliced', '1/4 teaspoon salt', '1/8 teaspoon ground black pepper', '1 1/2 cups (about 6 ounces) grated cheddar or Monterey Jack, or a combination', 'A small handful of fresh cilantro leaves', '10 (6-inch) corn tortillas', 'Salsa', 'Jalapeño peppers']","['oil','mushroom','garlic','scallions','tea','tea','cheddar','cilantro','corn','salsa','pepper']"
Broccoli and Cheddar Quesadillas,"['2 cups broccoli florets', '12 ounces grated cheddar cheese (about 4 loosely-packed cups)', '4 large 12-inch flour tortillas', 'Vegetable oil, for tortillas', '1 medium avocado, sliced thin or chopped for serving', 'Sour cream, for serving', '1/2 red onion, minced', '1 ripe tomato, minced', '1 jalapeño, seeded and minced', 'Fresh lime juice', 'Pinch of salt']","['broccoli','cheddar','flour','oil','avocado','cream','onion','tomato','1 jalapeño, seeded and minced','lime','salt']"
Sweet Corn and Goat Cheese Quesadillas,"['3 cups corn kernels, fresh, frozen, or canned', '1 tablespoon butter', '1 teaspoon kosher salt, divided', '1/2 teaspoon freshly cracked black pepper', '2 tablespoons olive oil', '2 cups zucchini, diced no more than 1/2-inch thick', '3 scallions, chopped, green parts included', '4 ounces goat cheese, slightly softened', '1/2 cup large basil leaves, packed loosely', '4 8-inch flour tortillas (or 6 to 8 6-inch corn tortillas)']","['corn','butter','salt','tea','oil','zucchini','scallions','cheese','basil','flour']"
Squash Blossom Quesadillas,"['2 tablespoons extra virgin olive oil', '1 cup chopped onion', '5 cloves of garlic, minced', '30 summer squash blossoms', '1 teaspoon butter', '12 white corn tortillas', '8 ounces Oaxaca cheese (a Mexican string cheese) or Monterey jack cheese, sliced', 'Chopped fresh cilantro for garnish']","['gin','onion','clove','squash','butter','corn','monterey jack','cilantro']"
Easy Chicken Pot Pie,"['3 to 3 1/2 pounds cut-up whole chicken', '1 1/2 tablespoons olive oil', '1 teaspoon kosher salt', '1/4 teaspoon black pepper', '8 tablespoons (1 stick) unsalted butter, sliced', '1 medium (1 1/2 cups) white onion, diced', '3 stalks (1 1/4 cups) celery, diced', '3 cloves garlic, minced', '1/2 cup all-purpose flour', '3 cups chicken stock', '1/2 cup whole milk', '1 1/2 teaspoons fresh rosemary, stems removed and roughly chopped, or 3/4 teaspoons dried rosemary', '1 1/2 teaspoons fresh thyme leaves, stems removed or 3/4 teaspoons dried', '1 1/2 teaspoons fresh sage, roughly chopped or 3/4 teaspoons dried', '2 cups (about 8 ounces) frozen peas and carrots blend, thawed and drained of excess water', '1/2 teaspoon kosher salt', '1/4 teaspoon black pepper', '1 sheet of puff pastry, thawed under refrigeration', '1 large egg yolk', '1 tablespoon cold water', 'Salt, optional']","['chicken','oil','salt','tea','butter','onion','celery','clove','flour','chicken','milk','rosemary','tea','sage','carrot','salt','tea','pastry','egg','water','salt']"
Chicken Pot Pie,"['1 (3 1/2 pound) whole chicken', '1 carrot', '1 celery stalk', '1 small onion, halved', '2 teaspoons salt', '1 1/2 cups all-purpose flour', '1/2 teaspoon salt', '1/2 cup (1 stick) chilled unsalted butter, diced into 1/2-inch cubes (best to chill cubes in the freezer for at least 15 minutes before using)', '1/4 cup vegetable shortening, chilled', '3 to 4 tablespoons ice water', '6 tablespoons unsalted butter', '1 large onion, diced (about 1 1/4 cups)', '3 carrots, thinly sliced on the diagonal', '3 celery stalks, thinly sliced on the diagonal', '1/2 cup all-purpose flour', '1 1/2 cups milk', '1 teaspoon chopped fresh thyme leaves', '1/4 cup dry sherry', '3/4 cup green peas, frozen or fresh', '2 tablespoons minced fresh parsley', '2 teaspoons salt', '1/2 teaspoon freshly ground black pepper', '1 egg whisked with 1 tablespoon water', '6 10-ounce ramekins']","['chicken','carrot','celery','onion','tea','flour','tea','butter','vegetable shortening','water','butter','onion','carrot','celery','flour','milk','tea','sherry','peas','parsley','tea','tea','water','ramekins']"
